"","PORT_CODE","PACFIN_PORT_CODE","COUNTY_CODE","PORT_NAME","LATITUDE","LONGITUDE","COUNTY_CODE.1","COUNTY_NAME","STATE"
"245",620,"OBV","SBA","POINT ARGUELLO",34.577590681545,-120.648666404369,"SBA","Santa Barbara","CA"
"246",621,"OBV","SBA","SURF",34.6826789998362,-120.603777999655,"SBA","Santa Barbara","CA"
"247",623,"OBV","SBA","SANTA CRUZ ISLAND",NA,NA,"SBA","Santa Barbara","CA"
"248",628,"OBV","VNT","POINT MUGU",34.0856152408647,-119.060554355241,"VNT","Ventura","CA"
"249",630,"OBV","VNT","RINCON",33.2884370001676,-116.958687000405,"VNT","Ventura","CA"
"250",632,"OSL","SLO","CAMBRIA",35.5505429999596,-121.079847000339,"SLO","San Luis Obispo","CA"
"251",634,"OBV","VNT","SOLROMAR",34.0500662886508,-118.953697123045,"VNT","Ventura","CA"
"252",635,"OBV","SBA","CARPENTERIA",34.3955399999712,-119.514324999899,"SBA","Santa Barbara","CA"
"253",638,"OSL","SLO","GROVER CITY",35.1214920001559,-120.620245000007,"SLO","San Luis Obispo","CA"
"254",639,"OBV","SBA","LOMPOC",34.6609539998273,-120.471279000325,"SBA","Santa Barbara","CA"
"255",640,"OBV","VNT","SIMI VALLEY",34.2726989999591,-118.743860000139,"VNT","Ventura","CA"
"256",641,"OCA","ICA","PORTERVILLE",36.0767729998742,-119.026344000275,"ICA","Inland Counties","CA"
"257",643,"OCA","ICA","BAKERSFIELD",35.3734049997412,-119.018911000142,"ICA","Inland Counties","CA"
"258",646,"OCA","ICA","TULARE",36.1965479996907,-119.343599000393,"ICA","Inland Counties","CA"
"259",647,"OCA","ICA","SHAFTER",35.4705659999212,-119.188866000066,"ICA","Inland Counties","CA"
"260",648,"OSL","SLO","BAYWOOD PARK",35.3293309997262,-120.823280000172,"SLO","San Luis Obispo","CA"
"261",649,"OCA","ICA","OILDALE",35.4270800000422,-119.03014800033,"ICA","Inland Counties","CA"
"262",650,"OBV","VNT","OJAI",34.447704999886,-119.247111999819,"VNT","Ventura","CA"
"263",651,"OBV","VNT","WESTLAKE VILLAGE",34.1393589996184,-118.819769999686,"VNT","Ventura","CA"
"264",653,"OSL","SLO","ATASCADERO",35.4830089999656,-120.68372199997,"SLO","San Luis Obispo","CA"
"265",657,"OCA","ICA","MOJAVE",35.0536120003938,-118.174063000207,"ICA","Inland Counties","CA"
"266",700,"OLA","LAX","LOS ANGELES AREA",NA,NA,"LAX","Los Angeles","CA"
"267",703,"OLA","LAX","LANCASTER",34.6893649996953,-118.135228999918,"LAX","Los Angeles","CA"
"268",707,"OLA","ORG","WESTMINISTER",33.7592149996727,-117.989516000063,"ORG","Orange","CA"
"269",708,"OLA","LAX","COVINA",34.0907940002432,-117.881357999971,"LAX","Los Angeles","CA"
"270",710,"OLA","LAX","HAWAIIAN GARDENS",33.8314180000409,-118.072074000415,"LAX","Los Angeles","CA"
"271",711,"OLA","LAX","CARSON",33.8315919999711,-118.263743999886,"LAX","Los Angeles","CA"
"272",721,"OLA","ORG","ANAHEIM",33.8342680001683,-117.919434000379,"ORG","Orange","CA"
"273",724,"OLA","LAX","BELL GARDENS",33.965493000102,-118.151636000201,"LAX","Los Angeles","CA"
"274",729,"OLA","LAX","MALIBU",34.0257869998704,-118.764993999873,"LAX","Los Angeles","CA"
"275",730,"OLA","LAX","TORRANCE",33.8262160002684,-118.359912000139,"LAX","Los Angeles","CA"
"276",733,"OLA","LAX","CATALINA ISLAND",NA,NA,"LAX","Los Angeles","CA"
"277",734,"OSD","SDG","SAN CLEMENTE ISLAND",NA,NA,"SDG","San Diego","CA"
"278",736,"OLA","ORG","LOS ALAMITOS",33.8029809998734,-118.058828000212,"ORG","Orange","CA"
"279",738,"OLA","LAX","PACIFIC PALISADES",34.0474010001561,-118.525791000054,"LAX","Los Angeles","CA"
"280",741,"OLA","LAX","AVALON",33.3349920003807,-118.332089000407,"LAX","Los Angeles","CA"
"281",742,"OLA","LAX","REDONDO BEACH",33.8381829999457,-118.385413999856,"LAX","Los Angeles","CA"
"282",745,"TRM","LAX","TERMINAL ISLAND",33.7360459996234,-118.292333999914,"LAX","Los Angeles","CA"
"283",747,"OLA","LAX","SANTA MONICA",34.007954000377,-118.489691999986,"LAX","Los Angeles","CA"
"284",748,"NWB","ORG","NEWPORT BEACH",33.6213389996954,-117.930653999782,"ORG","Orange","CA"
"285",749,"OLA","ORG","LAGUNA",NA,NA,"ORG","Orange","CA"
"286",754,"OLA","RVS","ELSINORE",33.689759000078,-117.321537999679,"RVS","Riverside","CA"
"287",755,"OLA","RVS","NORCO",33.9242609998454,-117.558869999551,"RVS","Riverside","CA"
"288",759,"OLA","ORG","COSTA MESA",33.6525259998752,-117.918997000011,"ORG","Orange","CA"
"289",763,"OLA","LAX","ALHAMBRA",34.0915570003555,-118.134612000243,"LAX","Los Angeles","CA"
